Session_ID,Time_Record,Transcription,Sentiment,Valence,Activation,Dominance,discrete
Ses01F_impro01_F000,[006.2901-008.2357]:,excuse me,neu,2.5,2.5,2.5,0
Ses01F_impro01_M000,[007.5712-010.4750]:,do you have your form,fru,2.5,2.0,2.5,1
Ses01F_impro01_F001,[010.0100-011.3925]:,yeah,neu,2.5,2.5,2.5,0
Ses01F_impro01_M001,[010.9266-014.6649]:,let me see them,fru,2.5,2.0,2.5,1
Ses01F_impro01_F002,[014.8872-018.0175]:,is there a problem,neu,2.5,2.5,2.5,0
Ses01F_impro01_M002,[016.8352-019.7175]:,who told you to get in this line,fru,2.0,3.5,3.5,1
Ses01F_impro01_M003,[023.4700-028.0300]:,okay but i didn t tell you to get in this line if you are filling out this particular form,fru,2.5,3.5,3.5,1
Ses01F_impro01_F005,[027.4600-031.4900]:,well what s the problem let me change it,neu,2.5,3.5,2.0,0
Ses01F_impro01_M004,[028.3950-031.2117]:,this form is a z x four,fru,2.0,4.0,3.5,1
Ses01F_impro01_M005,[031.2660-039.3875]:,you can t this is not the line for z x four if you re going to fill out the z x four you need to have a different form of id,fru,2.0,3.5,3.5,1
Ses01F_impro01_F006,[038.9650-043.5900]:,what i m getting an id this is why i m here my wallet wa stolen,fru,2.0,3.5,3.5,1
Ses01F_impro01_M006,[041.2300-046.9800]:,no i need another set of id to prove this is actually you,fru,2.0,3.5,3.5,1
Ses01F_impro01_F007,[046.5800-052.1900]:,how am i supposed to get an id without an id how doe a person get an id in the first place,fru,2.5,3.5,3.5,1
Ses01F_impro01_M007,[051.4000-057.6400]:,i don t know but i need an id to pa this form along i can t just send it along without an id,fru,2.5,3.5,3.0,1
Ses01F_impro01_F008,[056.1600-058.8225]:,i m here to get an id,fru,2.0,3.5,3.5,1
Ses01F_impro01_M008,[058.1800-062.5900]:,no i need another id a separate one,fru,2.0,3.5,3.5,1
Ses01F_impro01_F009,[061.8700-065.9700]:,like what like a birth certificate,fru,2.0,3.5,3.0,1
Ses01F_impro01_M009,[065.5100-073.0000]:,a birth certificate a passport a student id didn t you go to school anything,fru,2.5,3.5,4.0,1
Ses01F_impro01_F011,[072.4500-082.2600]:,yes but my wallet wa stolen i don t have anything i don t have any credit card i don t have my id don t you have thing on file here,fru,2.0,3.5,3.5,1
Ses01F_impro01_M010,[081.5900-086.0300]:,yeah we keep it on file but we need an id to access that file,fru,2.0,4.5,4.0,1
Ses01F_impro01_F012,[085.2700-088.0200]:,that s out of control,ang,2.0,3.5,3.5,2
Ses01F_impro01_M011,[087.1500-094.3900]:,i don t understand why this is so complicated for people when they get here it s just a simple form i just need an id,ang,2.0,4.0,4.0,2
Ses01F_impro01_F013,[093.6700-097.0218]:,how long have you been working here,fru,2.0,4.0,3.5,1
Ses01F_impro01_F014,[097.8900-102.9600]:,clearly you know do you have like a supervisor or something,neu,2.5,3.5,3.5,0
Ses01F_impro01_M013,[101.8400-107.8700]:,yeah do you want to see my supervisor huh yeah do you want to see my supervisor fine i ll be right back,ang,2.0,4.5,4.5,2
Ses01F_impro01_F015,[103.9700-106.7100]:,that would i would appreciate that yeah,fru,2.0,3.5,3.0,1
Ses01F_impro02_F000,[007.2688-016.6000]:,did you get the mail so you saw my letter,sad,2.5,2.0,1.5,3
Ses01F_impro02_F001,[019.8500-022.7800]:,yeah i know,sad,2.0,1.5,1.5,3
Ses01F_impro02_M001,[021.7600-027.5558]:,i don t understand you ve already done so much i don t know why do you have to go back,sad,2.0,2.5,2.5,3
Ses01F_impro02_F002,[026.5659-032.2895]:,i don t know i put in that request too they didn t,sad,2.0,1.5,1.5,3
Ses01F_impro02_F003,[032.3075-037.9600]:,i guess you know everybody ha to make sacrifice,neu,2.0,2.0,2.0,0
Ses01F_impro02_F004,[047.3400-053.1100]:,there s people that have given more though you know,sad,2.5,2.0,2.5,3
Ses01F_impro02_M003,[052.7100-059.0534]:,i just don t see how they can make you leave when you have a new baby we have a new kid,fru,2.0,3.0,3.0,1
Ses01F_impro02_F005,[058.7500-061.3100]:,i know,sad,2.0,2.0,2.5,3
Ses01F_impro02_F006,[064.2550-068.4700]:,there s baby over there though that need mother,neu,2.5,2.5,2.5,0
Ses01F_impro02_M005,[069.3400-074.2900]:,i don t know how you can be okay with this i don t know why you re not you re fine with it,sad,2.0,3.0,1.5,3
Ses01F_impro02_F008,[087.2031-091.0900]:,just you know kicking myself,sad,1.5,2.0,1.5,3
Ses01F_impro02_F010,[097.9400-102.1900]:,thing just aren t what they seem,sad,2.0,1.5,2.0,3
Ses01F_impro02_M008,[110.5653-113.2000]:,i know,fru,2.5,1.5,2.0,1
Ses01F_impro02_M009,[114.1775-117.8500]:,i just don t see why it ha to be you,sad,2.0,1.5,2.5,3
Ses01F_impro02_F012,[117.8300-120.8605]:,if not me then who,sad,3.5,2.0,1.5,3
Ses01F_impro02_M010,[120.4105-124.6300]:,what am i going to do huh,sad,2.0,2.0,1.5,3
Ses01F_impro02_F013,[127.8200-133.9455]:,you ll videotape everything yeah,sad,1.5,2.0,2.0,3
Ses01F_impro02_M011,[133.8800-137.1000]:,yeah,sad,2.5,1.5,2.5,3
Ses01F_impro02_F014,[139.0300-146.4300]:,maybe you can send it to me like stream it yeah,sad,1.5,2.0,2.0,3
Ses01F_impro02_M012,[147.0300-151.7101]:,don t you guy have access to computer over there,neu,2.5,2.0,2.0,0
Ses01F_impro02_F015,[151.4221-155.0100]:,last month yeah,sad,2.0,2.5,2.5,3
Ses01F_impro02_M013,[157.9800-162.7100]:,i just don t know how i m going to do it without you,sad,1.5,2.0,2.0,3
Ses01F_impro02_F016,[163.5400-165.7300]:,i have to find sitter,neu,2.0,1.0,2.5,0
Ses01F_impro02_M014,[164.8850-169.5000]:,i can t raise a baby by myself how,sad,1.5,3.0,1.5,3
Ses01F_impro02_F017,[169.3600-176.0150]:,we ve got friend that s why we moved here huh because there is a day care down the street,sad,3.5,3.0,2.5,3
Ses01F_impro02_M015,[175.4700-176.7200]:,i know,neu,3.0,3.0,1.5,0
Ses01F_impro02_F018,[176.0800-179.1300]:,and your mother is close by,neu,2.5,2.5,2.5,0
Ses01F_impro02_F019,[182.8300-185.8894]:,i ll send you lot of letter,sad,2.5,1.5,2.0,3
Ses01F_impro02_F020,[186.5800-191.1100]:,and i want lot and lot and lot of picture,sad,4.0,2.0,2.5,3
Ses01F_impro02_M016,[195.1047-199.5200]:,it s just not fair,fru,2.0,1.5,2.5,1
Ses01F_impro03_M000,[003.2400-005.4600]:,so what s up what s new,neu,4.0,3.0,2.6667,0
Ses01F_impro03_F000,[004.8800-007.7400]:,well vega wa awesome,hap,4.3333,2.6667,2.6667,4
Ses01F_impro03_M001,[006.6000-008.6600]:,yeah i heard,neu,4.3333,2.6667,2.3333,0
Ses01F_impro03_F001,[007.9300-011.3700]:,and um i got married,hap,4.0,2.6667,2.6667,4
Ses01F_impro03_M002,[010.5300-013.8400]:,shut up no in vega,sur,4.3333,3.3333,2.6667,5
Ses01F_impro03_F002,[012.8000-015.3700]:,yeah in the old town part,hap,4.3333,3.0,2.3333,4
Ses01F_impro03_M003,[014.9300-018.9075]:,who did you marry,exc,5.0,4.6667,3.0,6
Ses01F_impro03_F004,[021.7500-025.5200]:,um yes it wa very romantic,hap,4.6667,3.6667,2.3333,4
Ses01F_impro03_F005,[025.5584-028.1400]:,it wa at the slot machine,hap,4.3333,4.0,2.3333,4
Ses01F_impro03_F006,[028.3700-034.7100]:,uhuh uhuh he won big and he and he realized that the only thing that would make it better wa me a his bride,hap,4.0,3.3333,2.6667,4
Ses01F_impro03_M006,[034.2500-036.3400]:,he turned to you and wa like,neu,4.0,2.6667,2.3333,0
Ses01F_impro03_M007,[037.7175-040.4700]:,laughter that s really romantic,hap,4.0,3.0,2.3333,4
Ses01F_impro03_F008,[040.1200-042.7900]:,yeah well you know because he s leaving the next day,hap,4.0,3.3333,2.3333,4
Ses01F_impro03_M008,[042.0900-043.4100]:,yeah,neu,4.0,2.6667,2.0,0
Ses01F_impro03_F009,[042.8400-044.5400]:,but we re going to have a honeymoon cruise,hap,4.0,2.6667,2.3333,4
Ses01F_impro03_M009,[044.1600-049.0700]:,doe that mean that you re going to get citizenship too in in england or whatever,neu,3.6667,2.3333,2.3333,0
Ses01F_impro03_F010,[047.8700-051.0750]:,oh i hadn t even thought about that,hap,4.0,3.3333,3.0,4
Ses01F_impro03_M011,[052.9200-056.8500]:,yeah but he ll have like a long visa can you go visit then for a long time,neu,3.6667,3.6667,2.6667,0
Ses01F_impro03_F012,[055.8650-058.1500]:,oh totally,hap,4.0,3.6667,2.6667,4
Ses01F_impro03_F013,[060.7300-065.8600]:,i guess i ll i guess i ll have an internet husband laughter,hap,5.0,4.0,3.3333,4
Ses01F_impro03_M013,[065.6425-068.4400]:,like you need another one of those laughter,hap,4.6667,4.0,3.0,4
