avaliacao,twet,class_label
neutral, what  said.,0
positive, plus you've added commercials to the experience... tacky.,1
neutral, i didn't today... must mean i need to take another trip!,0
negative," it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",-1
negative, and it's a really big bad thing about it,-1
negative," seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying va",-1
positive," yes, nearly every time i fly vx this “ear worm” won’t go away :)",1
neutral," really missed a prime opportunity for men without hats parody, there. ",0
positive," well, i didn't…but now i do! :-d",1
positive," it was amazing, and arrived an hour early. you're too good to me.",1
neutral, did you know that suicide is the second leading cause of death among teens 10-24,0
positive, i &lt;3 pretty graphics. so much better than minimal iconography. :d,1
positive, this is such a great deal! already thinking about my 2nd trip to  &amp; i haven't even gone on my 1st trip yet! ;p,1
positive,  i'm flying your   skies again! u take all the  away from travel ,1
positive, thanks!,1
negative, sfo-pdx schedule is still mia.,-1
positive, so excited for my first cross country flight lax to mco i've heard nothing but great things about virgin america. ,1
negative,  i flew from nyc to sfo last week and couldn't fully sit in my seat due to two large gentleman on either side of me. help!,-1
positive,i ❤️ flying . ☺️👍,1
positive, you know what would be amazingly awesome? bos-fll please!!!!!!! i want to fly with only you.,1
negative, why are your first fares in may over three times more than other carriers when all seats are available to select???,-1
positive, i love this graphic. ,1
positive, i love the hipster innovation. you are a feel good brand.,1
neutral, will you be making bos&gt;las non stop permanently anytime soon?,0
negative, you guys messed up my seating.. i reserved seating with my friends and you guys gave my seat away ... 😡 i want free internet,-1
negative, status match program.  i applied and it's been three weeks.  called and emailed with no response.,-1
negative, what happened 2 ur vegan food options?! at least say on ur site so i know i won't be able 2 eat anything for next 6 hrs ,-1
neutral, do you miss me? don't worry we'll be together very soon.,0
negative, amazing to me that we can't get any cold air from the vents.     ,-1
neutral, lax to ewr - middle seat on a red eye. such a noob maneuver.  ,0
negative," hi! i just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during flight booking problems 😢",-1
neutral, are the hours of operation for the club at sfo that are posted online current?,0
negative," help, left expensive headphones on flight 89 iad to lax today. seat 2a. no one answering l&amp;f number at lax!",-1
negative," awaiting my return phone call, just would prefer to use your online self-service option :(",-1
positive, this is great news!  america could start flights to hawaii by end of year  via ,1
neutral,nice rt : vibe with the moodlight from takeoff to touchdown.   ,0
positive, moodlighting is the only way to fly! best experience ever! cool and calming. 💜✈ ,1
positive,"  done and done! best airline around, hands down!",1
neutral, when can i book my flight to hawaii??,0
negative, your chat support is not working on your site: ,-1
positive," view of downtown los angeles, the hollywood sign, and beyond that rain in the mountains! ",1
negative," hey, first time flyer next week - excited! but i'm having a hard time getting my flights added to my elevate account. help?",-1
neutral, plz help me win my bid upgrade for my flight 2/27 lax---&gt;sea!!!  🍷👍💺✈️,0
neutral, i have an unused ticket but moved to a new city where you don't fly. how can i fly with you before it expires? ,0
neutral, are flights leaving dallas for seattle on time feb 24?,0
positive, i'm  for a good reason: you rock!!,1
neutral,  dream  ,0
positive, wow this just blew my mind,1
neutral,   after last night    ! i think  agree,0
neutral,   all were entertaining,0
neutral," is flight 769 on it's way? was supposed to take off 30 minutes ago. website still shows ""on time"" not ""in flight"". thanks.",0
positive,   julie andrews all the way though  was very impressive! no to ,1
neutral, wish you flew out of atlanta... soon?,0
neutral,   julie andrews. hands down.,0
neutral, will flights be leaving dallas for la on february 24th?,0
negative, hi! i'm so excited about your $99 lga-&gt;dal deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,-1
positive, you know it. need it on my spotify stat ,1
positive,    i'm lady gaga!!! she is amazing! 😊,1
neutral,   - carrie!,0
neutral, new marketing song?  let us know what you think?,0
neutral,   julie andrews first but lady gaga wow'd me last night. carrie? meh.,0
negative, i called a 3-4 weeks ago about adding 3 flights from 2014 to my elevate...they still haven't shown up...help!,-1
neutral,"   all are great , but i have to go with  😍👌",0
neutral,"   sorry, mary martin had it first!",0
positive,    love all three but you really can't beat the classics!,1
neutral, flight 0736 dal to dca 2/24 2:10pm. tried to check in could not. status please.,0
negative, heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,-1
negative," hi, virgin! i'm on hold for 40-50 minutes -- are there any earlier flights from la to nyc tonight; earlier than 11:50pm?",-1
positive, congrats on winning the  award for best deals from an airline (us) ,1
negative, everything was fine until you lost my bag,-1
neutral, need to change reservation. have virgin credit card. do i need to modify on phone to waive change fee? or can i do online?,0
neutral, i emailed your customer service team. let me know if you need the tracking number.,0
neutral," hi i just booked a flight but need to add baggage, how can i do this?",0
negative, your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? ,-1
positive," not worried, it's been a great ride in a new plane with great crew. all airlines should be like this.",1
positive, awesome. i flew yall sat morning. any way we can correct my bill ?,1
neutral," or watch some of the best student films in the country at 35,000 feet!  ",0
neutral, first time flying you all. do you have a different rate/policy for media bags? thanks,0
negative, what is going on with customer service? is there anyway to speak to a human asap? thank you.,-1
neutral, what happened to doom?!,0
negative, why can't you supp the biz traveler like   and have customer service like  ,-1
positive, i've applied more then once to be a member of the  crew team...im 100% interested.   -g,1
negative, you're the best!! whenever i (begrudgingly) use any other airline i'm delayed and late flight :(,-1
negative, i have no interesting flying with you after this. i will cancelled flight my next four flights i planned.,-1
negative, it was a disappointing experience which will be shared with every business traveler i meet. ,-1
negative, i’m having trouble adding this flight my wife booked to my elevate account. help? ,-1
neutral, can't bring up my reservation online using flight booking problems code,0
neutral, random q: what's the distribution of elevate avatars? i bet that kitty has a disproportionate share ,0
neutral, i &lt;3 flying va but life happens and i am trying to  my trip jperhi  can you help.va home page will not let me ?,0
negative, why is the site down?  when will it be back up?,-1
neutral," ""you down with rnp?"" ""yeah you know me!""",0
neutral," hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",0
negative, i like the tv and interesting video . just disappointed in cancelled flightled flight when other flights went out to jfk on saturday .,-1
negative," just landed in lax, an hour after i should of been here. your no late flight bag check is not business travel friendly ",-1
neutral, why is flight 345 redirected?,0
negative," is it me, or is your website down?  btw, your new website isn't a great user experience.  time for another redesign.",-1
negative, i can't check in or add a bag. your website isn't working. i've tried both desktop and mobile ,-1
negative, - let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? ,-1
negative, what is your phone number. i can't find who to call about a flight reservation.,-1
negative, is anyone doing anything there today?  website is useless and no one is answering the phone.,-1
neutral, trying to add my boy prince to my ressie. sf this thursday  from lax ,0
negative, why must a traveler miss a flight to late flight check a bag?  i missed my morning appointments and you lost my business. ,-1
neutral, check out new music ,0
negative, how's a direct flight fll-&gt;sfo have unexpected layover in vegas 4 fuel yet peeps next to me bought for vegas flight. ,-1
negative, your no late flight bag check just lost you my business. i missed flight and am apt. three other people on flight had same exp.,-1
positive," - amazing customer  service, again! 💕💕 raeann in sf - she's the best!   ",1
negative, called your service line and was hung up on. this is awesome. ,-1
negative, your site is tripping. i'm trying to check in and i'm getting the plain text version. i am reluctant to enter any card info.,-1
neutral, i was scheduled for sfo 2 dal flight 714 today. changed to 24th due weather. looks like flight still on?,0
positive," has getaway deals through may, from $59 one-way. lots of cool cities   ",1
neutral," has getaway deals through may, from $59 one-way. lots of cool cities   ",0
positive," has getaway deals through may, from $59 one-way. lots of cool cities   ",1
neutral," has getaway deals through may, from $59 one-way. lots of cool cities   ",0
positive, have a great week 🌞✈,1
positive, come back to  already. we need you to take us out of this horrible cold.  ,1
negative," should i be concerned that i am about to fly on a plane that needs to be delayed due to a ""tech stop""?",-1
positive," is the best airline i have flown on.easy to change your reservation,helpful representatives &amp; a comfortable flying experience",1
positive, and again! another rep kicked butt! naelah represents your team so beautifully!! thank you!!!,1
positive, your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,1
positive," love the team running gate e9 at las tonight. waited for a delayed flight, and they kept things entertaining",1
negative, use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,-1
negative," and now the flight flight booking problems site is totally down. folks, what is the problem?",-1
negative, i like the customer service but a 40 min delay just for connecting passengers seems too long. va370,-1
positive, thanks to your outstanding nyc-jfk crew who moved mountains to get me home to san francisco tonight!,1
positive, you have the absolute best team and customer service ever.  every time i fly with you i'm delighted.  thank you!,1
neutral," do you provide complimentary upgrades to first class, if there are available seats?",0
negative, i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. im calling intern. help!!,-1
positive, completely awesome experience last month bos-las nonstop. thanks for such an awesome flight and depart time. ,1
neutral, how can i watch the  on my jfk-&gt;sfo flight?,0
neutral, is flight 882 cancelled flightled and what do i do if it is?,0
negative, you are failing your customers because your check in process does not link to tsa pre-check.,-1
negative,  us too! terrible airline! just gave us a hotel hotline number and said sorry,-1
neutral, has flight number 276 from sfo to cabo san lucas arrived yet?,0
negative,  your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline  shame on you!,-1
negative, another delayed flight? ,-1
negative, i need to register a service dog for a first class ticket from sfo &gt; dulles. the phone queue is an hour or longer. pls advise,-1
positive, you rock for making it so i can watch  on my flight!!   ,1
neutral,",  dropped a track on you... ",0
positive, always!!! xoxo,1
negative, why can't we book seats on your flights when we buy them or even during check in? creates so much anxiety! ,-1
negative, you'd think paying an extra $100 bucks rt for luggage might afford you hiring an extra hand at  ,-1
positive, best customer service rep in the world!  takes the cake!!!,1
neutral, can you find us a flt out of lax that is sooner than midnight on monday? that would be great customer service 😃,0
negative, please provide status for flight 769.  i cant imagine it's on time as the web indicates  dude to weather here and/or dallas,-1
positive, you have amazing staff &amp; super helpful as i just ran the   they have spoiled me with comfort!!!,1
negative," i paid the premium to fly you across the country, you cancelled flight my flight and offer no check fee or upgrade love? sad face :(",-1
negative, question: is it not possible to book a seat for an infant under 2? it's not giving me the option but we want a seat for him.,-1
positive,always have it together!!! you're welcome! rt :  you're so welcome.,1
positive,  home to    in'  back to !  ,1
negative,. i don't understand why you need a dm to give me an answer on if you have a damaged luggage policy.,-1
negative,. does that mean you don't have a policy for destroyed luggage?,-1
neutral, is there special assistance if i travel alone w/2 kids and 1 infant? priority boarding?,0
positive, thank you for checking in. tickets are purchased and customer is happy ;-),1
neutral, is your website ever coming back online?,0
neutral,"  - is flight 713 from love field to sfo definitely cancelled flightled for monday, february 23?",0
neutral, is flight 0769 out of lga to dfw on time?,0
neutral, my drivers license is expired by a little over a month. can i fly friday morning using my expired license?,0
negative, having problems flight booking problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,-1
negative, how do i reschedule my cancelled flightled flights online? the change button is greyed out!,-1
negative," i rang, but there is a wait for 35 minutes!! i can book the same ticket through a vendor, fix your site",-1
negative," got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 tomorrow. this is unacceptable.",-1
negative," our flight into lga was cancelled flighted. we're stuck in dallas. i called to reschedule, told i could get a flight for today...(1/2)",-1
negative, why don't any of the pairings include red wine?! only white is offered :( ,-1
negative, is the website down?,-1
negative, - your site seems a little wonked right now. may want to have a look. tried on two browsers. no css? ,-1
negative, i'm disappointed that the agent at the designated silver status check in line  closed to assist all pasengers,-1
neutral, plans to include austin to its dallas route - topnews arab  ,0
negative, is it normal to receive no reply from central baggage  ,-1
negative, at logan airport and waiting to checkin for my 9am flight. checkin desk not open !!!!! why?!,-1
neutral, to jump into the dallas-austin market -  ,0
neutral," beats eps views, takes on  va luv - investor's business daily ",0
neutral, lister to my show my on monday 1230 130,0
neutral, to begin dallas-austin  in april - 88.9 ketr ,0
negative," congrats, you just got all my business from ewr to sfo/lax. fuck you  fl1289 sfo/ewr was the clincher...",-1
negative,  i applied over 2 weeks ago. haven't heard back and i'm flying this week ,-1
neutral, i'd love to know what your policy is for damaged luggage.,0
positive, thank you for the follow,1
negative, - too many apologies! you r the worse airlines! don't even respond to your cudtomers,-1
negative, shame on va for making people spend money in stranded cities when other airlines are landing at jfk! who will reimburse me?,-1
neutral,  i dm you,0
neutral, can you please have flights in  sjc ? i have no choice but to fly southwest to vegas 😩😭,0
negative, too bad you say it takes 10 to 14 days via your confirmation email. when i inquired after 3 weeks you claim 6 to 8 weeks!,-1
