,Transcription,Emotion
0,Excuse me.,neu
1,Do you have your forms?,fru
2,Yeah.,neu
3,Let me see them.,fru
4,Is there a problem?,neu
5,Who told you to get in this line?,fru
6,You did.,xxx
7,You were standing at the beginning and you directed me.,xxx
8,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,fru
9,Well what's the problem?  Let me change it.,neu
10,This form is a Z.X.four.,fru
11,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",fru
12,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,fru
13,No. I need another set of ID to prove this is actually you.,fru
14,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,fru
15,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,fru
16,I'm here to get an ID.,fru
17,"No.  I need another ID, a separate one.",fru
18,Like what?  Like a birth certificate?,fru
19,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",fru
20,Who the hell has a birth certificate?,xxx
21,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",fru
22,"Yeah.  We keep it on file, but we need an ID to access that file.",fru
23,That's out of control.,ang
24,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,ang
25,How long have you been working here?,fru
26,Actually too long.,xxx
27,"Clearly.  You know, do you have like a supervisor or something?",neu
28,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,ang
29,That would - I would appreciate that.  Yeah.,fru
30,Did you get the mail? So you saw my letter?,sad
31,It's not fair.,xxx
32,Yeah.  I know.,sad
33,"I don't understand.  You've already done so much, I don't know why do you have to go back.",sad
34,I don't know.  I put in that. request too. They didn't...,sad
35,"I guess, you know, everybody has to make sacrifices.",neu
36,"I don't know, it's just not fair.  I think you've already made your sacrifice.",xxx
37,"There's people that have given more though, you know?",sad
38,I just don't see how they can make you leave when you have a new baby - we have a new kid.,fru
39,I know.,sad
40,Then why is that fair?  Why--,xxx
41,"There's babies over there, though, that need mothers.",neu
42,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,sad
